caseid,sct,led,term,chief,value,mow,courtmedianqmi,firsthub,outdeg,year,complexity,mowideology,concurrences,varcourtqmi,conc,dissents,stat,totalac,nyt,legalsalience,source,unan,post1989
"435/0349","098/1099","055/0331",1977,"burger","civil rights","BW",.2885,.4736,4,1978,-.533749,-.07,0,3.583044,0,3,0,3,"not nyt p1 story when decision came down","No","7C",0,0
"435/0371","098/1112","055/0349",1977,"burger","criminal procedure","MAR",.2885,2.238,12,1978,-.152566,-2.621,0,3.583044,0,0,1,0,"not nyt p1 story when decision came down","No","9C",1,0
"435/0389","098/1123","055/0364",1977,"burger","economic activity","BRN",.262,11.3966,56,1978,-.152566,-2.916,2,4.435619,1,4,1,3,"not nyt p1 story when decision came down","No","5C",0,0
"435/0444","098/1153","055/0403",1977,"burger","federalism","BRN",.15,3.7628,32,1978,-.152566,-2.916,2,5.066262,1,2,0,1,"not nyt p1 story when decision came down","No","1C",0,0
"435/0475","098/1173","055/0426",1977,"burger","civil rights","BURG",.262,6.4366,13,1978,-.152566,1.545,0,4.435619,0,3,0,2,"not nyt p1 story when decision came down","No","AR",0,0
"435/0497","098/1185","055/0443",1977,"burger","federalism","BW",.315,.4928,9,1978,-.152566,-.07,0,4.168959,0,3,1,3,"not nyt p1 story when decision came down","No","8C",0,0
"435/0519","098/1197","055/0460",1977,"burger","judicial power","REHN",-.015,3.1516,27,1978,-.152566,4.183,0,5.889373,0,0,0,4,"p1 nyt story when case decided","No","DCC",1,0
"435/0561","098/1291","055/0550",1977,"burger","federal taxation","BLKM",.262,.1437,15,1978,-.152566,.262,0,4.435619,0,2,1,1,"not nyt p1 story when decision came down","No","8C",0,0
"435/0589","098/1306","055/0570",1977,"burger","privacy","POW",.262,3.346,11,1978,.6098,.442,0,4.435619,0,4,0,0,"p1 nyt story when case decided","No","DCC",0,0
"435/0618","098/1322","055/0593",1977,"burger","first amendment","BURG",.15,37.2715,36,1978,-.152566,1.545,4,5.066262,1,0,0,1,"not nyt p1 story when decision came down","Yes","TN",1,0
"435/0647","098/1338","055/0614",1977,"burger","civil rights","BRN",.262,5.1665,12,1978,-.152566,-2.916,0,4.435619,0,2,1,1,"not nyt p1 story when decision came down","No","4C",0,0
"435/0679","098/1355","055/0637",1977,"burger","economic activity","STEV",.2885,4.6192,19,1978,.228617,-.015,3,3.583044,1,0,1,0,"not nyt p1 story when decision came down","No","DCC",1,0
"435/0702","098/1370","055/0657",1977,"burger","civil rights","STEV",.2885,1.3315,11,1978,-.152566,-.015,2,3.583044,1,2,1,12,"p1 nyt story when case decided","No","9C",0,0
"435/0734","098/1388","055/0682",1977,"burger","economic activity","BLKM",.2885,3.8015,37,1978,.228617,.262,1,3.583044,1,0,0,0,"not nyt p1 story when decision came down","Yes","WA",1,0
"435/0765","098/1407","055/0707",1977,"burger","first amendment","POW",.262,113.8631,91,1978,.228617,.442,1,4.435619,1,4,0,6,"p1 nyt story when case decided","Yes","MA",0,0
"435/0829","098/1535","056/0001",1977,"burger","first amendment","BURG",.262,22.4927,20,1978,-.152566,1.545,1,4.179457,1,0,0,4,"not nyt p1 story when decision came down","No","VA",1,0
"435/0850","098/1547","056/0018",1977,"burger","criminal procedure","BLKM",.2885,1.2476,14,1978,-.152566,.262,0,3.583044,0,0,0,0,"not nyt p1 story when decision came down","No","4C",1,0
"436/0032","098/1662","056/0094",1977,"burger","federalism","STWT",.2885,.2142,7,1978,-.152566,.315,0,3.85741,0,3,1,0,"not nyt p1 story when decision came down","No","",0,0
"436/0049","098/1670","056/0106",1977,"burger","civil rights","MAR",.15,3.8999,40,1978,-.152566,-2.621,0,5.066262,0,1,1,5,"not nyt p1 story when decision came down","No","10C",0,0
"436/0084","098/1690","056/0132",1977,"burger","due process","MAR",.262,1.3026,14,1978,-.152566,-2.621,0,4.435619,0,3,0,0,"not nyt p1 story when decision came down","No","CA",0,0
"436/0103","098/1702","056/0148",1977,"burger","economic activity","REHN",.262,1.7036,18,1978,.228617,4.183,3,4.435619,1,0,0,1,"not nyt p1 story when decision came down","No","2C",1,0
"436/0128","098/1717","056/0168",1977,"burger","criminal procedure","REHN",.262,4.5012,18,1978,-.152566,4.183,0,4.435619,0,2,1,1,"not nyt p1 story when decision came down","No","DCC",0,0
"436/0149","098/1729","056/0185",1977,"burger","civil rights","REHN",.2885,9.8292,32,1978,.7108645,4.183,0,3.583044,0,3,0,3,"not nyt p1 story when decision came down","No","2C",0,0
"436/0180","098/1745","056/0209",1977,"burger","federalism","STEV",.262,2.8719,35,1978,-.152566,-.015,2,4.435619,1,3,1,2,"not nyt p1 story when decision came down","No","CA",0,0
"436/0238","098/1778","056/0251",1977,"burger","federal taxation","BRN",.262,.0447,4,1978,-.152566,-2.916,1,4.435619,1,3,1,0,"not nyt p1 story when decision came down","No","6C",0,0
"436/0268","098/1795","056/0275",1977,"burger","federal taxation","MAR",.262,.00384,2,1978,.228617,-2.621,0,4.435619,0,4,1,0,"not nyt p1 story when decision came down","No","7C",0,0
"436/0293","098/1808","056/0293",1977,"burger","first amendment","BURG",.262,11.0856,18,1978,-.152566,1.545,4,4.435619,1,1,0,0,"not nyt p1 story when decision came down","No","9C",0,0
"436/0307","098/1816","056/0305",1977,"burger","criminal procedure","BW",.2885,3.5359,17,1978,.228617,-.07,0,3.583044,0,3,0,11,"p1 nyt story when case decided","Yes","DID",0,0
"436/0340","098/1834","056/0329",1977,"burger","criminal procedure","BW",.262,.4667,6,1978,-.152566,-.07,2,4.435619,1,0,1,0,"not nyt p1 story when decision came down","No","2C",1,0
"436/0371","098/1852","056/0354",1977,"burger","civil rights","BLKM",.262,11.4043,29,1978,.228617,.262,1,4.435619,1,3,0,0,"not nyt p1 story when decision came down","No","DMT",0,0
"436/0412","098/1893","056/0417",1977,"burger","attorneys","POW",.2885,41.3927,36,1978,-.152566,.442,2,3.583044,1,1,0,2,"p1 nyt story when case decided","No","SC",0,0
"436/0447","098/1912","056/0444",1977,"burger","attorneys","POW",.2885,43.4753,39,1978,-.152566,.442,2,3.583044,1,0,0,2,"p1 nyt story when case decided","No","OH",1,0
"436/0478","098/1930","056/0468",1977,"burger","criminal procedure","POW",.262,1.0892,10,1978,-.152566,.442,1,4.435619,1,2,0,0,"not nyt p1 story when decision came down","No","KYAP",0,0
"436/0499","098/1942","056/0486",1977,"burger","criminal procedure","STWT",.2885,6.2073,20,1978,-.152566,.315,3,3.583044,1,1,0,0,"not nyt p1 story when decision came down","No","MI",0,0
"436/0519","098/1955","056/0505",1977,"burger","economic activity","BW",-.015,.7782,16,1978,-.152566,-.07,0,5.885272,0,3,0,5,"not nyt p1 story when decision came down","No","5C",0,0
"436/0547","098/1970","056/0525",1977,"burger","criminal procedure","BW",.2885,24.8538,38,1978,-.152566,-.07,1,3.583044,1,3,0,6,"p1 nyt story when case decided","No","9C",0,0
"436/0584","098/1991","056/0554",1977,"burger","economic activity","MAR",.262,3.6675,17,1978,-.152566,-2.621,0,4.435619,0,3,1,1,"not nyt p1 story when decision came down","No","5C",0,0
"436/0604","098/2002","056/0570",1977,"burger","economic activity","MAR",.262,.1978,13,1978,-.152566,-2.621,0,4.435619,0,0,1,2,"not nyt p1 story when decision came down","No","9C",1,0
"436/0618","098/2010","056/0581",1977,"burger","economic activity","STEV",.2885,.2381,6,1978,-.152566,-.015,0,3.583044,0,2,1,0,"not nyt p1 story when decision came down","No","5C",0,0
"436/0631","098/2053","056/0591",1977,"burger","economic activity","BRN",.1235,.7818,14,1978,-.152566,-2.916,0,5.053126,0,0,0,0,"not nyt p1 story when decision came down","No","5C",1,0
"436/0658","098/2018","056/0611",1977,"burger","civil rights","BRN",.262,25.1213,77,1978,-.152566,-2.916,2,4.435619,1,2,0,1,"not nyt p1 story when decision came down","Yes","2C",0,0
"436/0725","098/2068","056/0658",1977,"burger","civil rights","STWT",.15,2.1779,13,1978,-.152566,.315,0,5.066262,0,0,1,3,"not nyt p1 story when decision came down","No","7C",1,0
"436/0748","098/2081","056/0677",1977,"burger","civil rights","MAR",.262,1.0215,9,1978,-.152566,-2.621,0,4.435619,0,2,1,0,"not nyt p1 story when decision came down","No","9C",0,0
"436/0775","098/2096","056/0697",1977,"burger","economic activity","MAR",.2885,12.7573,27,1978,-.152566,-2.621,0,3.583044,0,0,0,4,"p1 nyt story when case decided","No","DCC",1,0
"436/0816","098/2122","056/0728",1977,"burger","economic activity","BLKM",.262,1.2479,16,1978,-.152566,.262,1,4.435619,1,2,1,2,"not nyt p1 story when decision came down","No","5C",0,0
"437/0019","098/2151","057/0015",1977,"burger","criminal procedure","BURG",.15,.9061,8,1978,-.152566,1.545,2,5.066262,1,0,0,0,"not nyt p1 story when decision came down","No","5C",1,0
"437/0028","098/2156","057/0024",1977,"burger","criminal procedure","STWT",.262,6.1511,37,1978,-.152566,.315,1,4.435619,1,3,0,1,"not nyt p1 story when decision came down","No","9C",0,0
"437/0054","098/2170","057/0043",1977,"burger","criminal procedure","MAR",.262,2.5126,37,1978,-.152566,-2.621,1,4.435619,1,2,0,0,"not nyt p1 story when decision came down","No","1C",0,0
"437/0082","098/2187","057/0065",1977,"burger","criminal procedure","REHN",.262,2.1231,36,1978,-.152566,4.183,0,4.435619,0,4,0,0,"not nyt p1 story when decision came down","Yes","6C",0,0
"437/0117","098/2207","057/0091",1977,"burger","economic activity","STEV",.1235,5.3033,22,1978,.6098,-.015,0,5.053126,0,1,0,6,"not nyt p1 story when decision came down","No","MD",0,0
"437/0153","098/2279","057/0117",1977,"burger","economic activity","BURG",.262,2.9263,25,1978,-.152566,1.545,0,4.435619,0,3,1,6,"p1 nyt story when case decided","No","6C",0,0
"437/0214","098/2311","057/0159",1977,"burger","privacy","MAR",.262,.7585,14,1978,-.152566,-2.621,5,4.435619,1,0,0,3,"not nyt p1 story when decision came down","No","5C",1,0
"437/0255","098/2333","057/0187",1977,"burger","economic activity","STEV",.262,.028,4,1978,-.152566,-.015,0,4.435619,0,1,1,1,"not nyt p1 story when decision came down","No","MA",0,0
"437/0267","098/2340","057/0197",1977,"burger","economic activity","STEV",.262,3.8827,43,1978,.228617,-.015,0,4.435619,0,3,0,3,"not nyt p1 story when decision came down","No","IA",0,0
"437/0298","098/2357","057/0221",1977,"burger","criminal procedure","BLKM",.262,.9279,7,1978,-.152566,.262,0,4.435619,0,4,1,0,"not nyt p1 story when decision came down","No","7C",0,0
"437/0322","098/2370","057/0239",1977,"burger","economic activity","BLKM",.262,.1027,10,1978,-.152566,.262,1,4.435619,1,0,1,0,"not nyt p1 story when decision came down","No","9C",1,0
"437/0340","098/2380","057/0253",1977,"burger","judicial power","POW",.262,.2134,3,1978,-.152566,.442,0,4.435619,0,0,0,0,"not nyt p1 story when decision came down","No","2C",1,0
"437/0365","098/2396","057/0274",1977,"burger","judicial power","STWT",.262,1.9629,22,1978,-.152566,.315,0,4.435619,0,2,0,0,"not nyt p1 story when decision came down","No","8C",0,0
